day,location,redds
1998-05-18,rkm440,0
1998-06-01,rkm440,0
1998-06-09,rkm440,0
1998-06-15,rkm440,0
1998-06-23,rkm440,0
1998-06-30,rkm440,0
1998-07-09,rkm440,0
1998-07-13,rkm440,1
1998-07-20,rkm440,0
1998-07-27,rkm440,0
1999-05-05,rkm440,0
1999-05-12,rkm440,0
1999-05-18,rkm440,6
1999-05-27,rkm440,4
1999-06-08,rkm440,6
1999-06-16,rkm440,4
1999-06-22,rkm440,2
1999-06-29,rkm440,1
1999-07-07,rkm440,0
1999-07-12,rkm440,0
1999-07-20,rkm440,0
1999-07-27,rkm440,0
1999-08-02,rkm440,0
1999-08-16,rkm440,0
2002-05-22,rkm440,0
2002-05-29,rkm440,0
2002-06-05,rkm440,0
2002-06-13,rkm440,0
2002-06-20,rkm440,0
2002-07-11,rkm440,0
2002-07-16,rkm440,3
2002-07-24,rkm440,0
2002-07-30,rkm440,0
2002-08-20,rkm440,0
2007-05-10,rkm440,3
2007-05-17,rkm440,0
2007-05-24,rkm440,0
2007-05-31,rkm440,0
2007-06-08,rkm440,2
2007-06-15,rkm440,0
2007-06-22,rkm440,0
2007-06-28,rkm440,0
2007-07-05,rkm440,0
1998-05-18,rkm450,0
1998-06-01,rkm450,0
1998-06-09,rkm450,0
1998-06-15,rkm450,0
1998-06-23,rkm450,0
1998-06-30,rkm450,0
1998-07-09,rkm450,0
1998-07-13,rkm450,1
1998-07-20,rkm450,0
1998-07-27,rkm450,0
1999-05-05,rkm450,0
1999-05-12,rkm450,0
1999-05-18,rkm450,1
1999-05-27,rkm450,2
1999-06-08,rkm450,1
1999-06-16,rkm450,7
1999-06-22,rkm450,0
1999-06-29,rkm450,1
1999-07-07,rkm450,3
1999-07-12,rkm450,0
1999-07-20,rkm450,0
1999-07-27,rkm450,1
1999-08-02,rkm450,0
1999-08-16,rkm450,0
2002-05-22,rkm450,0
2002-05-29,rkm450,0
2002-06-05,rkm450,3
2002-06-13,rkm450,1
2002-06-20,rkm450,0
2002-07-11,rkm450,0
2002-07-16,rkm450,0
2002-07-24,rkm450,3
2002-07-30,rkm450,0
2002-08-20,rkm450,0
2003-05-20,rkm450,0
2003-05-27,rkm450,0
2003-06-04,rkm450,0
2003-06-11,rkm450,1
2003-06-18,rkm450,0
2003-06-25,rkm450,2
2003-07-02,rkm450,0
2003-07-09,rkm450,0
2003-07-16,rkm450,0
2003-07-25,rkm450,0
2003-07-30,rkm450,0
2003-08-06,rkm450,0
2004-06-10,rkm450,0
2004-06-17,rkm450,0
2004-06-25,rkm450,0
2004-07-02,rkm450,1
2004-07-08,rkm450,1
2004-07-14,rkm450,0
2004-07-22,rkm450,0
2004-08-05,rkm450,0
2004-08-18,rkm450,0
2004-08-25,rkm450,0
2005-05-27,rkm450,2
2005-06-03,rkm450,0
2005-06-09,rkm450,2
2005-06-24,rkm450,0
2005-06-29,rkm450,0
2005-07-07,rkm450,0
2005-07-14,rkm450,0
2005-07-29,rkm450,0
2005-08-03,rkm450,0
2007-05-10,rkm450,1
2007-05-17,rkm450,0
2007-05-24,rkm450,1
2007-05-31,rkm450,2
2007-06-08,rkm450,2
2007-06-15,rkm450,0
2007-06-22,rkm450,0
2007-06-28,rkm450,0
2007-07-05,rkm450,0
2008-04-29,rkm450,0
2008-05-27,rkm450,0
2008-06-11,rkm450,0
2008-06-16,rkm450,0
2008-06-23,rkm450,0
2008-07-03,rkm450,0
2008-07-09,rkm450,1
2008-07-21,rkm450,0
2008-08-01,rkm450,0
2008-08-18,rkm450,0
2019-05-08,rkm450,0
2019-05-24,rkm450,0
2019-05-30,rkm450,0
2019-06-13,rkm450,11
2019-06-19,rkm450,9
2019-06-27,rkm450,7
2019-07-03,rkm450,6
2019-07-10,rkm450,3
1996-04-30,rkm470,2
1996-05-06,rkm470,4
1996-05-13,rkm470,3
1996-05-28,rkm470,3
1996-06-03,rkm470,2
1996-06-10,rkm470,1
1996-06-17,rkm470,0
1996-07-01,rkm470,0
1996-07-08,rkm470,0
1996-07-15,rkm470,0
1996-07-29,rkm470,0
1996-08-07,rkm470,0
1997-05-09,rkm470,0
1997-05-15,rkm470,0
1997-05-27,rkm470,1
1997-06-02,rkm470,1
1997-06-16,rkm470,0
1997-06-23,rkm470,0
1997-07-01,rkm470,0
1997-07-08,rkm470,2
1997-07-15,rkm470,0
1997-07-22,rkm470,0
1997-08-05,rkm470,1
1997-08-12,rkm470,0
1998-05-18,rkm470,2
1998-06-01,rkm470,1
1998-06-09,rkm470,0
1998-06-15,rkm470,1
1998-06-23,rkm470,3
1998-06-30,rkm470,10
1998-07-09,rkm470,1
1998-07-13,rkm470,1
1998-07-20,rkm470,3
1998-07-27,rkm470,0
