,year,day,loc,redds,temp
0,1996,121,RKM470,2,11.6
3,1996,127,RKM470,4,11.5
6,1996,134,RKM470,3,11.0
9,1996,149,RKM470,3,12.4
12,1996,155,RKM470,2,11.6
15,1996,162,RKM470,1,11.6
18,1996,169,RKM470,0,0.0
21,1996,183,RKM470,0,0.0
24,1996,190,RKM470,0,0.0
27,1996,197,RKM470,0,0.0
30,1996,211,RKM470,0,0.0
33,1996,220,RKM470,0,0.0
1,1996,121,RKM479,0,0.0
4,1996,127,RKM479,4,11.2
7,1996,134,RKM479,3,10.9
10,1996,149,RKM479,3,11.3
13,1996,155,RKM479,1,11.4
16,1996,162,RKM479,1,11.2
19,1996,169,RKM479,2,11.5
22,1996,183,RKM479,1,11.8
25,1996,190,RKM479,4,11.8
28,1996,197,RKM479,3,11.8
31,1996,211,RKM479,3,12.2
34,1996,220,RKM479,1,12.4
2,1996,121,RKM483,0,0.0
5,1996,127,RKM483,0,0.0
8,1996,134,RKM483,0,0.0
11,1996,149,RKM483,0,0.0
14,1996,155,RKM483,0,0.0
17,1996,162,RKM483,0,0.0
20,1996,169,RKM483,0,0.0
23,1996,183,RKM483,2,11.7
26,1996,190,RKM483,0,0.0
29,1996,197,RKM483,0,0.0
32,1996,211,RKM483,0,0.0
35,1996,220,RKM483,0,0.0
36,1997,129,RKM470,0,0.0
38,1997,135,RKM470,0,0.0
40,1997,147,RKM470,1,12.0
42,1997,153,RKM470,1,12.0
44,1997,167,RKM470,0,0.0
46,1997,174,RKM470,0,0.0
48,1997,182,RKM470,0,0.0
50,1997,189,RKM470,2,11.5
52,1997,196,RKM470,0,0.0
54,1997,203,RKM470,0,0.0
56,1997,217,RKM470,1,11.7
58,1997,224,RKM470,0,0.0
37,1997,129,RKM479,6,11.1
39,1997,135,RKM479,2,11.2
41,1997,147,RKM479,1,11.1
43,1997,153,RKM479,0,0.0
45,1997,167,RKM479,1,11.1
47,1997,174,RKM479,2,11.2
49,1997,182,RKM479,1,11.2
51,1997,189,RKM479,1,11.0
53,1997,196,RKM479,4,10.9
55,1997,203,RKM479,3,11.9
57,1997,217,RKM479,0,0.0
59,1997,224,RKM479,4,12.2
60,1998,138,RKM440,0,0.0
65,1998,152,RKM440,0,0.0
70,1998,160,RKM440,0,0.0
75,1998,166,RKM440,0,0.0
80,1998,174,RKM440,0,0.0
85,1998,181,RKM440,0,0.0
90,1998,190,RKM440,0,0.0
95,1998,194,RKM440,1,11.9
100,1998,201,RKM440,0,0.0
105,1998,208,RKM440,0,0.0
61,1998,138,RKM450,0,0.0
66,1998,152,RKM450,0,0.0
71,1998,160,RKM450,0,0.0
76,1998,166,RKM450,0,0.0
81,1998,174,RKM450,0,0.0
86,1998,181,RKM450,0,0.0
91,1998,190,RKM450,0,0.0
96,1998,194,RKM450,1,11.7
101,1998,201,RKM450,0,0.0
106,1998,208,RKM450,0,0.0
62,1998,138,RKM470,2,11.6
67,1998,152,RKM470,1,10.7
72,1998,160,RKM470,0,0.0
77,1998,166,RKM470,1,10.9
82,1998,174,RKM470,3,11.1
87,1998,181,RKM470,10,11.2
92,1998,190,RKM470,1,11.1
97,1998,194,RKM470,1,11.3
102,1998,201,RKM470,3,11.3
107,1998,208,RKM470,0,0.0
63,1998,138,RKM479,8,10.8
68,1998,152,RKM479,0,0.0
73,1998,160,RKM479,10,10.6
78,1998,166,RKM479,25,10.7
83,1998,174,RKM479,17,10.9
88,1998,181,RKM479,16,11.0
93,1998,190,RKM479,24,11.0
98,1998,194,RKM479,6,11.1
103,1998,201,RKM479,2,11.1
108,1998,208,RKM479,2,11.3
64,1998,138,RKM483,0,0.0
69,1998,152,RKM483,0,0.0
74,1998,160,RKM483,0,0.0
79,1998,166,RKM483,0,0.0
84,1998,174,RKM483,0,0.0
89,1998,181,RKM483,0,0.0
94,1998,190,RKM483,4,10.9
99,1998,194,RKM483,0,0.0
104,1998,201,RKM483,0,0.0
109,1998,208,RKM483,0,0.0
110,1999,125,RKM440,0,0.0
115,1999,132,RKM440,0,0.0
120,1999,138,RKM440,6,11.8
125,1999,147,RKM440,4,12.0
130,1999,159,RKM440,6,12.2
135,1999,167,RKM440,4,12.4
140,1999,173,RKM440,2,12.4
145,1999,180,RKM440,1,12.0
150,1999,188,RKM440,0,0.0
155,1999,193,RKM440,0,0.0
160,1999,201,RKM440,0,0.0
165,1999,208,RKM440,0,0.0
170,1999,214,RKM440,0,0.0
175,1999,228,RKM440,0,0.0
111,1999,125,RKM450,0,0.0
116,1999,132,RKM450,0,0.0
121,1999,138,RKM450,1,11.6
126,1999,147,RKM450,2,11.6
131,1999,159,RKM450,1,11.8
136,1999,167,RKM450,7,12.1
141,1999,173,RKM450,0,0.0
146,1999,180,RKM450,1,11.9
151,1999,188,RKM450,3,11.8
156,1999,193,RKM450,0,0.0
161,1999,201,RKM450,0,0.0
166,1999,208,RKM450,1,12.1
171,1999,214,RKM450,0,0.0
176,1999,228,RKM450,0,0.0
112,1999,125,RKM470,5,10.3
117,1999,132,RKM470,12,10.7
122,1999,138,RKM470,43,10.9
127,1999,147,RKM470,88,10.9
132,1999,159,RKM470,87,11.4
137,1999,167,RKM470,210,11.2
142,1999,173,RKM470,122,11.3
147,1999,180,RKM470,87,11.4
152,1999,188,RKM470,36,10.7
157,1999,193,RKM470,32,10.6
162,1999,201,RKM470,15,10.8
167,1999,208,RKM470,4,11.0
172,1999,214,RKM470,2,10.9
177,1999,228,RKM470,1,10.6
113,1999,125,RKM479,8,10.1
118,1999,132,RKM479,63,10.3
123,1999,138,RKM479,10,10.7
128,1999,147,RKM479,64,10.6
133,1999,159,RKM479,102,11.0
138,1999,167,RKM479,44,11.0
143,1999,173,RKM479,41,10.9
148,1999,180,RKM479,12,11.0
153,1999,188,RKM479,6,10.3
158,1999,193,RKM479,3,10.3
163,1999,201,RKM479,5,10.7
168,1999,208,RKM479,1,10.7
173,1999,214,RKM479,0,0.0
178,1999,228,RKM479,1,10.3
114,1999,125,RKM483,0,0.0
119,1999,132,RKM483,0,0.0
124,1999,138,RKM483,0,0.0
129,1999,147,RKM483,0,0.0
134,1999,159,RKM483,1,10.9
139,1999,167,RKM483,0,0.0
144,1999,173,RKM483,0,0.0
149,1999,180,RKM483,0,0.0
154,1999,188,RKM483,0,0.0
159,1999,193,RKM483,0,0.0
164,1999,201,RKM483,0,0.0
169,1999,208,RKM483,0,0.0
174,1999,214,RKM483,0,0.0
179,1999,228,RKM483,0,0.0
180,2002,142,RKM440,0,0.0
185,2002,149,RKM440,0,0.0
190,2002,156,RKM440,0,0.0
195,2002,164,RKM440,0,0.0
200,2002,171,RKM440,0,0.0
205,2002,192,RKM440,0,0.0
210,2002,197,RKM440,3,13.1
215,2002,205,RKM440,0,0.0
220,2002,211,RKM440,0,0.0
225,2002,232,RKM440,0,0.0
181,2002,142,RKM450,0,0.0
186,2002,149,RKM450,0,0.0
191,2002,156,RKM450,3,12.3
196,2002,164,RKM450,1,12.5
201,2002,171,RKM450,0,0.0
206,2002,192,RKM450,0,0.0
211,2002,197,RKM450,0,0.0
216,2002,205,RKM450,3,13.3
221,2002,211,RKM450,0,0.0
226,2002,232,RKM450,0,0.0
182,2002,142,RKM470,4,11.3
187,2002,149,RKM470,3,11.5
192,2002,156,RKM470,33,11.7
197,2002,164,RKM470,20,11.6
202,2002,171,RKM470,16,11.7
207,2002,192,RKM470,46,11.7
212,2002,197,RKM470,39,11.7
217,2002,205,RKM470,0,0.0
222,2002,211,RKM470,0,0.0
227,2002,232,RKM470,7,11.6
183,2002,142,RKM479,2,11.0
188,2002,149,RKM479,7,11.3
193,2002,156,RKM479,45,11.5
198,2002,164,RKM479,12,11.4
203,2002,171,RKM479,14,11.3
208,2002,192,RKM479,22,11.3
213,2002,197,RKM479,28,10.8
218,2002,205,RKM479,3,10.6
223,2002,211,RKM479,1,11.0
228,2002,232,RKM479,0,0.0
184,2002,142,RKM483,7,10.9
189,2002,149,RKM483,8,11.2
194,2002,156,RKM483,83,11.4
199,2002,164,RKM483,27,11.3
204,2002,171,RKM483,45,11.2
209,2002,192,RKM483,55,11.1
214,2002,197,RKM483,68,10.2
219,2002,205,RKM483,2,10.5
224,2002,211,RKM483,2,10.8
229,2002,232,RKM483,0,0.0
230,2003,140,RKM450,0,0.0
234,2003,147,RKM450,0,0.0
238,2003,155,RKM450,0,0.0
242,2003,162,RKM450,1,12.1
246,2003,169,RKM450,0,0.0
250,2003,176,RKM450,2,12.4
254,2003,183,RKM450,0,0.0
258,2003,190,RKM450,0,0.0
262,2003,197,RKM450,0,0.0
266,2003,206,RKM450,0,0.0
270,2003,211,RKM450,0,0.0
274,2003,218,RKM450,0,0.0
231,2003,140,RKM470,1,10.9
235,2003,147,RKM470,13,10.7
239,2003,155,RKM470,7,11.2
243,2003,162,RKM470,7,11.2
247,2003,169,RKM470,11,11.5
251,2003,176,RKM470,23,11.5
255,2003,183,RKM470,12,11.6
259,2003,190,RKM470,36,12.1
263,2003,197,RKM470,18,12.3
267,2003,206,RKM470,10,12.0
271,2003,211,RKM470,5,11.9
275,2003,218,RKM470,0,0.0
232,2003,140,RKM479,1,10.6
236,2003,147,RKM479,18,10.5
240,2003,155,RKM479,25,10.9
244,2003,162,RKM479,17,11.0
248,2003,169,RKM479,6,11.2
252,2003,176,RKM479,14,11.1
256,2003,183,RKM479,7,11.2
260,2003,190,RKM479,37,11.7
264,2003,197,RKM479,13,11.7
268,2003,206,RKM479,5,11.7
272,2003,211,RKM479,6,11.6
276,2003,218,RKM479,2,11.8
233,2003,140,RKM483,0,0.0
237,2003,147,RKM483,63,10.4
241,2003,155,RKM483,42,10.8
245,2003,162,RKM483,28,11.0
249,2003,169,RKM483,45,11.1
