day,location,temperature
1996-01-01,rkm440,
1996-01-01,rkm483,11.343
1996-01-01,rkm450,
1996-01-01,rkm444,11.099
1996-01-01,rkm479,11.318
1996-01-01,rkm485,11.356
1996-01-01,rkm470,11.261
1996-01-02,rkm483,11.485999999999999
1996-01-02,rkm450,
1996-01-02,rkm485,11.494000000000002
1996-01-02,rkm444,11.349
1996-01-02,rkm470,11.44
1996-01-02,rkm440,
1996-01-02,rkm479,11.472000000000001
1996-01-03,rkm485,11.209000000000001
1996-01-03,rkm483,11.225999999999999
1996-01-03,rkm444,11.562000000000001
1996-01-03,rkm440,
1996-01-03,rkm470,11.338
1996-01-03,rkm450,
1996-01-03,rkm479,11.26
1996-01-04,rkm483,10.797
1996-01-04,rkm470,10.991
1996-01-04,rkm479,10.857000000000001
1996-01-04,rkm485,10.767999999999999
1996-01-04,rkm444,11.379000000000001
1996-01-04,rkm440,
1996-01-04,rkm450,
1996-01-05,rkm444,11.449000000000002
1996-01-05,rkm450,
1996-01-05,rkm470,10.934000000000001
1996-01-05,rkm485,10.638
1996-01-05,rkm440,
1996-01-05,rkm483,10.677
1996-01-05,rkm479,10.755999999999998
1996-01-06,rkm470,10.742
1996-01-06,rkm444,11.162
1996-01-06,rkm485,10.5
1996-01-06,rkm479,10.595999999999998
1996-01-06,rkm450,
1996-01-06,rkm483,10.532
1996-01-06,rkm440,
1996-01-07,rkm483,10.52
1996-01-07,rkm444,10.915999999999999
1996-01-07,rkm470,10.652000000000001
1996-01-07,rkm440,
1996-01-07,rkm450,
1996-01-07,rkm479,10.56
1996-01-07,rkm485,10.5
1996-01-08,rkm485,10.527000000000001
1996-01-08,rkm440,
1996-01-08,rkm450,
1996-01-08,rkm444,10.927999999999999
1996-01-08,rkm479,10.585
1996-01-08,rkm470,10.673
1996-01-08,rkm483,10.546
1996-01-09,rkm485,10.333
1996-01-09,rkm470,10.562999999999999
1996-01-09,rkm450,
1996-01-09,rkm444,10.962
1996-01-09,rkm483,10.363
1996-01-09,rkm479,10.425
1996-01-09,rkm440,
1996-01-10,rkm450,
1996-01-10,rkm485,10.360999999999999
1996-01-10,rkm440,
1996-01-10,rkm470,10.343
1996-01-10,rkm479,10.353
1996-01-10,rkm483,10.357999999999999
1996-01-10,rkm444,10.312999999999999
1996-01-11,rkm479,10.367
1996-01-11,rkm444,11.092
1996-01-11,rkm450,
1996-01-11,rkm440,
1996-01-11,rkm470,10.552999999999999
1996-01-11,rkm483,10.284
1996-01-11,rkm485,10.243
1996-01-12,rkm470,10.339
1996-01-12,rkm440,
1996-01-12,rkm444,10.600999999999999
1996-01-12,rkm450,
1996-01-12,rkm483,10.208
1996-01-12,rkm485,10.187999999999999
1996-01-12,rkm479,10.248
1996-01-13,rkm444,10.761
1996-01-13,rkm483,10.267999999999999
1996-01-13,rkm479,10.318
1996-01-13,rkm485,10.243
1996-01-13,rkm450,
1996-01-13,rkm440,
1996-01-13,rkm470,10.432
1996-01-14,rkm440,
1996-01-14,rkm450,
1996-01-14,rkm485,10.166
1996-01-14,rkm470,10.258
1996-01-14,rkm479,10.202
1996-01-14,rkm444,10.418
1996-01-14,rkm483,10.177999999999999
1996-01-15,rkm440,
1996-01-15,rkm485,9.953
1996-01-15,rkm450,
1996-01-15,rkm479,9.943999999999999
1996-01-15,rkm444,9.892999999999999
1996-01-15,rkm483,9.95
1996-01-15,rkm470,9.931000000000001
1996-01-16,rkm470,9.689
1996-01-16,rkm483,9.867
1996-01-16,rkm450,
1996-01-16,rkm440,
1996-01-16,rkm485,9.895
1996-01-16,rkm479,9.812000000000001
1996-01-16,rkm444,9.333
1996-01-17,rkm483,9.68
1996-01-17,rkm470,9.533
1996-01-17,rkm450,
1996-01-17,rkm485,9.703
1996-01-17,rkm479,9.635
1996-01-17,rkm440,
1996-01-17,rkm444,9.24
1996-01-18,rkm483,9.374
1996-01-18,rkm450,
1996-01-18,rkm470,8.741
1996-01-18,rkm444,7.476
1996-01-18,rkm440,
1996-01-18,rkm485,9.472000000000001
1996-01-18,rkm479,9.179
1996-01-19,rkm450,
1996-01-19,rkm483,9.12
1996-01-19,rkm440,
1996-01-19,rkm485,9.24
1996-01-19,rkm479,8.88
